,Year,Births,Pop,Vax
1,1893,128368.4211,4449039.636,0
2,1894,128368.4211,4449039.636,0
3,1895,128368.4211,4449039.636,0
4,1896,128368.4211,4449039.636,0
5,1897,130927.4575,4449039.636,0
6,1898,132407,4540195,0
7,1899,133574,4540139.571,0
8,1900,131872,4570851,0
9,1901,131135,4831341.143,0
10,1902,128961,4520448,0
11,1903,129579,4468702,0
12,1904,125953,4377090,0
13,1905,122778,4402303,0
14,1906,117559,4338573,0
15,1907,122213,4536429,0
16,1908,121622,4536429,0
17,1909,114487,4536267,0
18,1910,116450,4536267,0
19,1911,110549,4521301,0
20,1912,111915,4546650.909,0
21,1913,111474,4519185.636,0
22,1914,110938,4518098.273,0
23,1915,103700,4516996.273,0
24,1916,101597,4516612,0
25,1917,83466,4303426.091,0
26,1918,72736,4179981.727,0
27,1919,81979,4177541,0
28,1920,122540,4358309,0
29,1921,102218,4531971,0
30,1922,94782,4514405,0
31,1923,91662,4534230,0
32,1924,85147,4564109,0
33,1925,82401,4576505,0
34,1926,78825,4602000,0
35,1927,73263,4605400,0
36,1928,72352,4541000,0
37,1929,70090,4458200,0
38,1930,69449,4417900,0
39,1931,65684,4374300,0
40,1932,67371,4230200,0
41,1933,62608,4230200,0
42,1934,56853,4230200,0
43,1935,63145,4230200,0
44,1936,64540,4185200,0
45,1937,55011,4185200,0
46,1938,64325,4141100,0
47,1939,52366,4013400,0
48,1940,46213,3084100,0
49,1941,33380,2320100,0
50,1942,40806,2405000,0
51,1943,45032,2500600,0
52,1944,44851,2462500,0
53,1945,45840,2601370,0
54,1946,66023,3109240,0
55,1947,70685,3245000,0
56,1948,60805,3339100,0
57,1949,56547,3375470,0
58,1950,53660,3389620,0
59,1951,52387,3358000,0
60,1952,51443,3363000,0
61,1953,50992,3343000,0
62,1954,50745,3322000,0
63,1955,49826,3295000,0
64,1956,52171,3273000,0
65,1957,52733,3253880,0
66,1958,54152,3225000,0
67,1959,55191,3204000,0
68,1960,57368,3194480,0
69,1961,60052,3179980,0
70,1962,62524,3185770,0
71,1963,63500,3178870,0
72,1964,63500,3184600,0
73,1965,60902,3160380,0
74,1966,59247,3140800,0
75,1967,55326,3118630,0
76,1968,51156,3020410,44612.53741
77,1969,46733,2981580,24179.01599
78,1970,43789,2926000,37532.20271
79,1971,41600,2751380,30594.99241
80,1972,36980,2700320,28581.28574
81,1973,33667,2650230,25830.45923
82,1974,32091,2583400,18772.23758
83,1975,30300,2553500,16405.87588
84,1976,29376,2494600,16768.03101
85,1977,29087,2476200,16040.13532
86,1978,30412,2446600,16248.67073
87,1979,32039,2428100,17093.09019
88,1980,33348,2416100,18001.21548
89,1981,33213,2381700,18469.10324
90,1982,33096,2314100,19020.1167
91,1983,33373,2309700,19017.62127
92,1984,33792,2315300,21149.12524
93,1985,34988,2322400,22997.56764
94,1986,35519,2328200,24392.0848
95,1987,36444,2318500,24929.28965
96,1988,37365,2308800,48039.3774
97,1989,37694,2320100,66795.0711
98,1990,38605,2337500,51343.74737
99,1991,38627,2354500,NA
100,1992,38643,2416100,NA
101,1993,38643,2416100,NA
102,1994,38643,2416100,NA
